evolution$generation,maxNewLinksNumber,densityConf,breakdownHierarchy,breakdownThreshold,nwDiameter,meanPathLength,meanBwCentrality,meanClosenessCentrality,meanRelativeSpeed,nwLength,evolution$samples,nwDiameter,meanBwCentrality,nwSize,breakdownThreshold,densityConf,meanPathLength,maxNewLinksNumber,replication,breakdownHierarchy,nwLength,meanRelativeSpeed,meanClosenessCentrality
4500,7.121721750357413,27,4.0,1.248157534255961,1.5583149318907756,0.5061736011779823,0.06688941243663883,0.029481222253843933,0.7044327293600932,568.6911638784326,1,"[1.5583149318907756]","[0.06688941243663883]","[119.0]","[1.248157534255961]","[27]","[0.5061736011779823]","[7.121721750357413]","[283152069]","[4.0]","[568.6911638784326]","[0.7044327293600932]","[0.029481222253843933]"
4500,4.229914602903289,39,0.9087655734852611,1.0174997208996563,1.001617381020921,0.4925014830410699,0.04511008014578962,0.07880359116680506,0.8641661483581475,851.9446929020007,1,"[1.001617381020921]","[0.04511008014578962]","[105.0]","[1.0174997208996563]","[39]","[0.4925014830410699]","[4.229914602903289]","[-1801406863]","[0.9087655734852611]","[851.9446929020007]","[0.8641661483581475]","[0.07880359116680506]"
4500,7.708007054627349,22,3.6630521171652686,1.0,1.0602936850346962,0.46062416556723945,0.058152027934461455,0.03697706138378131,0.7540671995830421,653.6460896861029,1,"[1.0602936850346962]","[0.058152027934461455]","[117.0]","[1.0]","[22]","[0.46062416556723945]","[7.708007054627349]","[227963130]","[3.6630521171652686]","[653.6460896861029]","[0.7540671995830421]","[0.03697706138378131]"
4500,7.6753937374263685,39,2.8768955376758343,1.113962633650817,1.0269216803431624,0.4941504581753491,0.042289120265580196,0.07475736431203829,0.8838622400488543,952.6591377898362,1,"[1.0269216803431624]","[0.042289120265580196]","[111.0]","[1.113962633650817]","[39]","[0.4941504581753491]","[7.6753937374263685]","[1199672989]","[2.8768955376758343]","[952.6591377898362]","[0.8838622400488543]","[0.07475736431203829]"
4500,10.0,28,0.9942691258786078,1.58598464504147,1.1645812461976488,0.49705349084811096,0.08354152880093986,0.034619050087400335,0.7159013436568138,484.0466539596577,1,"[1.1645812461976488]","[0.08354152880093986]","[111.0]","[1.58598464504147]","[28]","[0.49705349084811096]","[10.0]","[-987925650]","[0.9942691258786078]","[484.0466539596577]","[0.7159013436568138]","[0.034619050087400335]"
4500,2.4188254615788205,29,0.7132531836937237,1.0372842142766243,1.4119514615752269,0.5847942060617322,0.08177301661232728,0.03819378274540965,0.6921364880521957,446.6836598800029,1,"[1.4119514615752269]","[0.08177301661232728]","[100.0]","[1.0372842142766243]","[29]","[0.5847942060617322]","[2.4188254615788205]","[744759980]","[0.7132531836937237]","[446.6836598800029]","[0.6921364880521957]","[0.03819378274540965]"
4500,3.279182984067628,46,0.16107237411182088,1.2288805661676996,1.5580000688813356,0.5939217370290306,0.08041895554090676,0.022771144881019535,0.6319152554914875,472.4919150323499,1,"[1.5580000688813356]","[0.08041895554090676]","[114.0]","[1.2288805661676996]","[46]","[0.5939217370290306]","[3.279182984067628]","[1420776065]","[0.16107237411182088]","[472.4919150323499]","[0.6319152554914875]","[0.022771144881019535]"
4500,5.570635854847825,12,0.706312714657605,2.803490563630265,1.6960771617152144,0.69273614969688,0.12360298895386615,0.02508999239878939,0.597565256418155,359.1007139672152,1,"[1.6960771617152144]","[0.12360298895386615]","[108.0]","[2.803490563630265]","[12]","[0.69273614969688]","[5.570635854847825]","[-664423456]","[0.706312714657605]","[359.1007139672152]","[0.597565256418155]","[0.02508999239878939]"
4500,7.526236221717355,31,2.6922786865560613,1.0081763342723138,1.1624233419795336,0.511219836041918,0.0522471658377022,0.07926425237352824,0.8364531675077749,713.5470246976523,1,"[1.1624233419795336]","[0.0522471658377022]","[104.0]","[1.0081763342723138]","[31]","[0.511219836041918]","[7.526236221717355]","[1200048512]","[2.6922786865560613]","[713.5470246976523]","[0.8364531675077749]","[0.07926425237352824]"
4500,1.0,1,0.8282938128874744,1.0234317209186221,2.186960287786107,0.865399119277852,0.11870621630771634,0.019159011263807944,0.49125688735735057,434.75462989277537,1,"[2.186960287786107]","[0.11870621630771634]","[127.0]","[1.0234317209186221]","[1]","[0.865399119277852]","[1.0]","[-807555481]","[0.8282938128874744]","[434.75462989277537]","[0.49125688735735057]","[0.019159011263807944]"
4500,4.208605437021916,4,1.0578050734007551,1.226371508863679,1.204062610161031,0.6098973209828636,0.06964263064434298,0.02407034625228325,0.6983212065245777,553.8043844974054,1,"[1.204062610161031]","[0.06964263064434298]","[122.0]","[1.226371508863679]","[4]","[0.6098973209828636]","[4.208605437021916]","[1378316971]","[1.0578050734007551]","[553.8043844974054]","[0.6983212065245777]","[0.02407034625228325]"
4500,4.166977435499769,9,1.4892448103367062,1.4544413594808046,1.6449492759687658,0.6561000831134253,0.10470898787218726,0.02312642737988183,0.6295888437224004,472.71565285576577,1,"[1.6449492759687658]","[0.10470898787218726]","[105.0]","[1.4544413594808046]","[9]","[0.6561000831134253]","[4.166977435499769]","[-198758893]","[1.4892448103367062]","[472.71565285576577]","[0.6295888437224004]","[0.02312642737988183]"
4500,2.038050570293488,47,0.9792054131852596,1.0115798381294399,1.290282976285429,0.5482511961711695,0.0753667433433883,0.030769201895861454,0.6859177578262369,480.84083098533915,3,"[1.408645811767306,1.290282976285429,1.14369835543292]","[0.0753667433433883,0.08699220228631993,0.07496980155306299]","[108.0,108.0,108.0]","[1.0115798381294399,1.0115798381294399,1.0115798381294399]","[47,47,47]","[0.5315691422911125,0.5602353411299459,0.5482511961711695]","[2.038050570293488,2.038050570293488,2.038050570293488]","[-1222574609,973763511,1884676329]","[0.9792054131852596,0.9792054131852596,0.9792054131852596]","[480.84083098533915,427.00635773239355,499.50666084767926]","[0.734205554436606,0.6602879035860416,0.6859177578262369]","[0.032431371265592625,0.029918224429414084,0.030769201895861454]"
4500,6.346138315800461,46,0.19056499116799483,1.6241913905466037,1.332923050423623,0.5300104288250973,0.0643427823296793,0.026827401412666565,0.7051230296955275,534.476994877103,1,"[1.332923050423623]","[0.0643427823296793]","[118.0]","[1.6241913905466037]","[46]","[0.5300104288250973]","[6.346138315800461]","[248792671]","[0.19056499116799483]","[534.476994877103]","[0.7051230296955275]","[0.026827401412666565]"
4500,2.645373787736128,34,0.8022447078327807,1.0,1.3220479842298152,0.6192908745863119,0.09979667741135632,0.030947661645168236,0.6678721551316936,460.1729037533415,1,"[1.3220479842298152]","[0.09979667741135632]","[103.0]","[1.0]","[34]","[0.6192908745863119]","[2.645373787736128]","[1667505558]","[0.8022447078327807]","[460.1729037533415]","[0.6678721551316936]","[0.030947661645168236]"
