evolution$generation,evolution$evaluated,maxNewLinksNumber,densityConf,gravityRadius,gravityInflexion,gravityHierarchyWeight,gravityHierarchyExponent,nwDiameter,meanPathLength,meanBwCentrality,meanClosenessCentrality,meanRelativeSpeed,nwLength,evolution$samples,gravityInflexion,nwDiameter,meanBwCentrality,gravityHierarchyExponent,nwSize,gravityRadius,densityConf,nwLength,meanPathLength,gravityHierarchyWeight,maxNewLinksNumber,replication,meanRelativeSpeed,meanClosenessCentrality
3000,3000,8.274430697423593,24,2178.5217047638976,7.742201980035497,0.999925774507162,2.518586795188247,1.2494739043122371,0.5209358146723806,0.0621395410385629,0.04391600810696985,0.6736943539586806,511.86509484075555,1,"[7.742201980035497]","[1.2494739043122371]","[0.0621395410385629]","[2.518586795188247]","[112.0]","[2178.5217047638976]","[24]","[511.86509484075555]","[0.5209358146723806]","[0.999925774507162]","[8.274430697423593]","[-1511940440]","[0.6736943539586806]","[0.04391600810696985]"
3000,3000,5.21259281472825,25,1851.1123950022127,0.7191388750689652,0.11542602356413548,0.12622012270464042,1.304614421534021,0.6471544825566338,0.0723942123942124,0.023453141508770283,0.6235953104027551,572.2212705819576,1,"[0.7191388750689652]","[1.304614421534021]","[0.0723942123942124]","[0.12622012270464042]","[115.0]","[1851.1123950022127]","[25]","[572.2212705819576]","[0.6471544825566338]","[0.11542602356413548]","[5.21259281472825]","[1732018150]","[0.6235953104027551]","[0.023453141508770283]"
3000,3000,9.597697710946575,24,404.9357525096132,6.419854140428164,0.26054910265944564,0.14247771476488766,1.2461334975817473,0.6185661892436312,0.0635010060362173,0.03183572127267746,0.6319296427874828,567.6141271937915,1,"[6.419854140428164]","[1.2461334975817473]","[0.0635010060362173]","[0.14247771476488766]","[123.0]","[404.9357525096132]","[24]","[567.6141271937915]","[0.6185661892436312]","[0.26054910265944564]","[9.597697710946575]","[-1591399585]","[0.6319296427874828]","[0.03183572127267746]"
3000,3000,5.10347272656254,40,2067.5155941532366,4.19866559363539,0.18119158370713095,0.7102873882027978,1.2295610539537545,0.549206855020685,0.07794482134780643,0.03368887174363319,0.7223140063388944,536.5891979712584,1,"[4.19866559363539]","[1.2295610539537545]","[0.07794482134780643]","[0.7102873882027978]","[104.0]","[2067.5155941532366]","[40]","[536.5891979712584]","[0.549206855020685]","[0.18119158370713095]","[5.10347272656254]","[408210209]","[0.7223140063388944]","[0.03368887174363319]"
3000,3000,8.927643252096608,46,2717.5847405136183,4.657972956499549,0.16532029002683568,2.698821501113956,1.5534979310315358,0.6850365782162929,0.098114689709348,0.020125161996776633,0.5829478819066,453.7617766718716,1,"[4.657972956499549]","[1.5534979310315358]","[0.098114689709348]","[2.698821501113956]","[122.0]","[2717.5847405136183]","[46]","[453.7617766718716]","[0.6850365782162929]","[0.16532029002683568]","[8.927643252096608]","[141416643]","[0.5829478819066]","[0.020125161996776633]"
3000,3000,9.592900529710121,32,643.2418308167514,3.4494948369459086,0.6398622904376976,0.6877329253965053,1.276003301585583,0.5894454525445535,0.07218222953517071,0.02859578044428187,0.7133155646651587,609.7267667328798,1,"[3.4494948369459086]","[1.276003301585583]","[0.07218222953517071]","[0.6877329253965053]","[109.0]","[643.2418308167514]","[32]","[609.7267667328798]","[0.5894454525445535]","[0.6398622904376976]","[9.592900529710121]","[-358694455]","[0.7133155646651587]","[0.02859578044428187]"
3000,3000,8.155683909355599,7,1649.9634926562449,7.617565733729528,0.9137948286771608,2.519875136580853,1.5035980561112836,0.681244083857142,0.08884269526709501,0.02294948886716018,0.6012098848130654,376.70352087795266,1,"[7.617565733729528]","[1.5035980561112836]","[0.08884269526709501]","[2.519875136580853]","[122.0]","[1649.9634926562449]","[7]","[376.70352087795266]","[0.681244083857142]","[0.9137948286771608]","[8.155683909355599]","[381047381]","[0.6012098848130654]","[0.02294948886716018]"
3000,3000,10.0,50,2953.5499238574434,4.4813156212748,0.3781798500082432,2.5453170898993647,1.618742649553606,0.7174992045695447,0.09858172754290095,0.02283495913490345,0.6026423268060501,432.44427852685226,4,"[4.4813156212748,4.4813156212748,4.4813156212748,4.4813156212748]","[1.6806693481679063,1.74678874866175,1.4594077574492756,1.5568159509393056]","[0.08574709577999053,0.10065497076023391,0.09650848432556801,0.10773943054357205]","[2.5453170898993647,2.5453170898993647,2.5453170898993647,2.5453170898993647]","[128.0,105.0,108.0,107.0]","[2953.5499238574434,2953.5499238574434,2953.5499238574434,2953.5499238574434]","[50,50,50,50]","[490.1788273515771,442.27019928110764,422.61835777259694,411.0995257043072]","[0.7363683239527297,0.7389358158431774,0.686192236791385,0.6986300851863598]","[0.3781798500082432,0.3781798500082432,0.3781798500082432,0.3781798500082432]","[10.0,10.0,10.0,10.0]","[727090329,-200653866,254874283,1491902245]","[0.5725582478697111,0.5960964134383898,0.6091882401737105,0.6148612701176972]","[0.018445802049001724,0.022549433015060464,0.02312048525474644,0.023402934368124552]"
3000,3000,9.585644073544277,23,617.858645645764,3.3366059577857996,0.6412540280993728,0.6240179756269684,1.3050940619982545,0.6409328292346254,0.07710210778745426,0.02293942349397579,0.6545001254632686,511.56907183846437,1,"[3.3366059577857996]","[1.3050940619982545]","[0.07710210778745426]","[0.6240179756269684]","[119.0]","[617.858645645764]","[23]","[511.56907183846437]","[0.6409328292346254]","[0.6412540280993728]","[9.585644073544277]","[-1496623382]","[0.6545001254632686]","[0.02293942349397579]"
3000,3000,8.759359632420047,39,1202.0474012118489,8.771431888153737,0.6725255439428116,2.8448247775345896,1.9731201385667245,0.8189347036251376,0.10322478886164523,0.07347907309124363,0.6368856165572777,300.14146220505427,1,"[8.771431888153737]","[1.9731201385667245]","[0.10322478886164523]","[2.8448247775345896]","[59.0]","[1202.0474012118489]","[39]","[300.14146220505427]","[0.8189347036251376]","[0.6725255439428116]","[8.759359632420047]","[-1086048303]","[0.6368856165572777]","[0.07347907309124363]"
