evolution$generation,maxNewLinksNumber,densityConf,bioThreshold,bioSteps,nwDiameter,meanPathLength,meanBwCentrality,meanClosenessCentrality,meanRelativeSpeed,nwLength,evolution$samples,bioThreshold,nwDiameter,bioSteps,meanBwCentrality,nwSize,densityConf,nwLength,meanPathLength,maxNewLinksNumber,replication,meanRelativeSpeed,meanClosenessCentrality
5500,7.181001468522442,26,0.5402462340927787,93.4715874798414,1.2614591688061505,0.5389133956593191,0.037235352622220996,0.022809660780895104,0.7679953846580063,789.608980699962,4,"[0.5402462340927787,0.5402462340927787,0.5402462340927787,0.5402462340927787]","[1.122856487923073,1.652235267939714,1.088657284493498,1.400061849689228]","[93.4715874798414,93.4715874798414,93.4715874798414,93.4715874798414]","[0.037666992505702185,0.039065375837443864,0.033544355331189185,0.036803712738739815]","[140.0,157.0,176.0,180.0]","[26,26,26,26]","[808.931292879774,770.28666852015,871.0999016010066,721.2506280022584]","[0.517700711002821,0.5850878730410622,0.5453193056115138,0.5325074857071243]","[7.181001468522442,7.181001468522442,7.181001468522442,7.181001468522442]","[-1267232616,156620284,679829298,800421782]","[0.7700287251289564,0.7246202525414758,0.7659620441870564,0.7729369854427041]","[0.023693660781128896,0.025630924450834213,0.018763223374954403,0.021925660780661313]"
5500,10.0,39,0.4283728315344507,63.04754734733277,1.160693662446052,0.5552405647865168,0.04134269374116437,0.038077980870006564,0.8262852324507486,668.4653412659655,1,"[0.4283728315344507]","[1.160693662446052]","[63.04754734733277]","[0.04134269374116437]","[142.0]","[39]","[668.4653412659655]","[0.5552405647865168]","[10.0]","[577265107]","[0.8262852324507486]","[0.038077980870006564]"
5500,4.587417468805173,49,0.5692860425151557,100.0,1.4873712189129626,0.604944796806526,0.06075741890959282,0.028892773036762014,0.6927119402391057,593.1490006788,1,"[0.5692860425151557]","[1.4873712189129626]","[100.0]","[0.06075741890959282]","[112.0]","[49]","[593.1490006788]","[0.604944796806526]","[4.587417468805173]","[135756263]","[0.6927119402391057]","[0.028892773036762014]"
5500,6.606087675379257,42,0.5346958272922959,97.02269919718043,1.1439298447689528,0.48141297343758144,0.025684928433616007,0.01817708489255775,0.8563648168618548,1051.3602722452672,1,"[0.5346958272922959]","[1.1439298447689528]","[97.02269919718043]","[0.025684928433616007]","[228.0]","[42]","[1051.3602722452672]","[0.48141297343758144]","[6.606087675379257]","[1024508554]","[0.8563648168618548]","[0.01817708489255775]"
5500,4.0,22,0.5527480121907816,40.0,1.1081602852525794,0.3700622773110798,0.026663991114349937,0.026237023357826097,0.8344576324811646,784.1784434811515,1,"[0.5527480121907816]","[1.1081602852525794]","[40.0]","[0.026663991114349937]","[199.0]","[22]","[784.1784434811515]","[0.3700622773110798]","[4.0]","[-1704146946]","[0.8344576324811646]","[0.026237023357826097]"
5500,10.0,34,0.6,96.36960755580421,1.6698636237168145,0.6372078693086841,0.06921714434305087,0.02262504685017089,0.6774471762832499,559.1955443433474,2,"[0.6,0.6]","[1.4408462303626448,1.8988810170709842]","[96.36960755580421,96.36960755580421]","[0.04925263700445006,0.08918165168165168]","[164.0,110.0]","[34,34]","[684.0798947836956,434.3111939029992]","[0.578823838588933,0.6955919000284352]","[10.0,10.0]","[1767099406,1351381101]","[0.7105401022495667,0.644354250316933]","[0.01899540980125678,0.026254683899085002]"
5500,6.255369630717641,4,0.558766671560317,100.0,1.84705160505549,0.6793931500779966,0.0416393510642712,0.019130202987358846,0.7156925451410459,819.0704053305358,1,"[0.558766671560317]","[1.84705160505549]","[100.0]","[0.0416393510642712]","[180.0]","[4]","[819.0704053305358]","[0.6793931500779966]","[6.255369630717641]","[-1015665723]","[0.7156925451410459]","[0.019130202987358846]"
5500,10.0,16,0.5707600461724859,55.367144330027465,1.1471938693260737,0.5494502031793382,0.034246816383371285,0.031089640472417447,0.786907108436552,831.2747110661196,1,"[0.5707600461724859]","[1.1471938693260737]","[55.367144330027465]","[0.034246816383371285]","[150.0]","[16]","[831.2747110661196]","[0.5494502031793382]","[10.0]","[2113388166]","[0.786907108436552]","[0.031089640472417447]"
5500,8.410852483191013,14,0.41740953711314094,69.2933301302026,1.026253500148966,0.4383438694195894,0.04589015574931068,0.03323585256536246,0.8552067132664893,562.5767889766959,1,"[0.41740953711314094]","[1.026253500148966]","[69.2933301302026]","[0.04589015574931068]","[121.0]","[14]","[562.5767889766959]","[0.4383438694195894]","[8.410852483191013]","[1757356864]","[0.8552067132664893]","[0.03323585256536246]"
5500,4.650029565045764,8,0.5581109254512544,91.6857659880437,1.2021019349515933,0.47040501825388953,0.04564007421150278,0.04328786540630487,0.7877373836793988,543.8206007130665,1,"[0.5581109254512544]","[1.2021019349515933]","[91.6857659880437]","[0.04564007421150278]","[104.0]","[8]","[543.8206007130665]","[0.47040501825388953]","[4.650029565045764]","[-1558526743]","[0.7877373836793988]","[0.04328786540630487]"
